"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2021","2021","Colorado","08","Cesarean","2","Yes","1","Unknown or Not Stated","9",203
,"2021","2021","Colorado","08","Cesarean","2","No","2","Underweight <18.5","1",216
,"2021","2021","Colorado","08","Cesarean","2","No","2","Normal 18.5-24.9","2",4268
,"2021","2021","Colorado","08","Cesarean","2","No","2","Overweight 25.0-29.9","3",2957
,"2021","2021","Colorado","08","Cesarean","2","No","2","Obesity I 30.0-34.9","4",1732
,"2021","2021","Colorado","08","Cesarean","2","No","2","Obesity II 35.0-39.9","5",878
,"2021","2021","Colorado","08","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",690
,"2021","2021","Colorado","08","Cesarean","2","No","2","Unknown or Not Stated","9",464
,"2021","2021","Connecticut","09","Vaginal","1","Yes","1","Underweight <18.5","1",19
,"2021","2021","Connecticut","09","Vaginal","1","Yes","1","Normal 18.5-24.9","2",358
,"2021","2021","Connecticut","09","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",246
,"2021","2021","Connecticut","09","Vaginal","1","Yes","1","Obesity I 30.0-34.9","4",125
,"2021","2021","Connecticut","09","Vaginal","1","Yes","1","Obesity II 35.0-39.9","5",56
,"2021","2021","Connecticut","09","Vaginal","1","Yes","1","Extreme Obesity III > 39.9","6",27
,"2021","2021","Connecticut","09","Vaginal","1","No","2","Underweight <18.5","1",605
,"2021","2021","Connecticut","09","Vaginal","1","No","2","Normal 18.5-24.9","2",10149
,"2021","2021","Connecticut","09","Vaginal","1","No","2","Overweight 25.0-29.9","3",6104
,"2021","2021","Connecticut","09","Vaginal","1","No","2","Obesity I 30.0-34.9","4",3092
,"2021","2021","Connecticut","09","Vaginal","1","No","2","Obesity II 35.0-39.9","5",1329
,"2021","2021","Connecticut","09","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",806
,"2021","2021","Connecticut","09","Vaginal","1","No","2","Unknown or Not Stated","9",103
,"2021","2021","Connecticut","09","Vaginal","1","Unknown or Not Stated","9","Normal 18.5-24.9","2",10
,"2021","2021","Connecticut","09","Cesarean","2","Yes","1","Underweight <18.5","1",45
,"2021","2021","Connecticut","09","Cesarean","2","Yes","1","Normal 18.5-24.9","2",1622
,"2021","2021","Connecticut","09","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",1443
,"2021","2021","Connecticut","09","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",928
,"2021","2021","Connecticut","09","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",530
,"2021","2021","Connecticut","09","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",433
,"2021","2021","Connecticut","09","Cesarean","2","Yes","1","Unknown or Not Stated","9",23
,"2021","2021","Connecticut","09","Cesarean","2","No","2","Underweight <18.5","1",120
,"2021","2021","Connecticut","09","Cesarean","2","No","2","Normal 18.5-24.9","2",2791
,"2021","2021","Connecticut","09","Cesarean","2","No","2","Overweight 25.0-29.9","3",2098
,"2021","2021","Connecticut","09","Cesarean","2","No","2","Obesity I 30.0-34.9","4",1346
,"2021","2021","Connecticut","09","Cesarean","2","No","2","Obesity II 35.0-39.9","5",667
,"2021","2021","Connecticut","09","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",537
,"2021","2021","Connecticut","09","Cesarean","2","No","2","Unknown or Not Stated","9",30
,"2021","2021","Delaware","10","Vaginal","1","Yes","1","Normal 18.5-24.9","2",64
,"2021","2021","Delaware","10","Vaginal","1","Yes","1","Overweight 25.0-29.9","3",53
